,time,1-Resp1,1-Resp2,1-Resp3,1-Resp5,1-Resp7,1-Resp8,1-Resp9,1-Resp10,1-Resp11,1-Resp12,1-Resp13,1-Resp14,1-Resp15,1-Resp16,1-Resp17,1-Resp18,1-Resp20,1-Resp21,1-Resp22,1-Resp23,1-Resp25,1-Resp26,1-Resp27,1-Resp28,1-Resp30
0,1,,52.0,82.0,59.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,,68.0,49.0,,82.0,63.0,95.0,59.0,100.0,64.0,66.0,46.0
1,2,,52.0,83.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,,68.0,49.0,74.0,82.0,63.0,100.0,58.0,100.0,64.0,66.0,46.0
2,3,,52.0,83.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,,68.0,80.0,74.0,82.0,63.0,100.0,58.0,100.0,64.0,66.0,46.0
3,4,,52.0,83.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,,73.0,67.0,74.0,82.0,63.0,100.0,58.0,100.0,64.0,66.0,46.0
4,5,,52.0,83.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,,72.0,67.0,74.0,82.0,63.0,100.0,58.0,100.0,64.0,68.0,46.0
5,6,,52.0,100.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,51.0,68.0,59.0,74.0,82.0,63.0,100.0,59.0,100.0,64.0,68.0,46.0
6,7,78.0,52.0,100.0,58.0,63.0,92.0,63.0,49.0,64.0,77.0,79.0,63.0,47.0,55.0,81.0,56.0,74.0,82.0,63.0,100.0,65.0,100.0,64.0,67.0,46.0
7,8,78.0,52.0,100.0,58.0,63.0,92.0,64.0,49.0,64.0,77.0,79.0,63.0,47.0,56.0,100.0,55.0,74.0,82.0,63.0,100.0,70.0,100.0,64.0,67.0,46.0
8,9,78.0,52.0,100.0,58.0,63.0,92.0,64.0,49.0,64.0,77.0,79.0,63.0,47.0,57.0,100.0,55.0,74.0,82.0,63.0,100.0,76.0,100.0,64.0,67.0,46.0
9,10,78.0,52.0,100.0,58.0,63.0,92.0,64.0,49.0,64.0,77.0,79.0,63.0,47.0,57.0,100.0,55.0,74.0,82.0,63.0,100.0,76.0,100.0,71.0,67.0,46.0
