,rainbow1,rainbow2,rainbow3,rainbow4
0,70.29971651766708,73.41425632183909,53.696000000000005,55.37586206896551
1,69.74090416969108,73.1982061853965,53.623999999999995,55.37931034482759
2,70.18189853270486,73.13697679856115,53.744,55.37758620689655
3,69.54728254778246,73.021191317291,53.864,55.43189655172414
4,69.12158111296709,72.66928818324651,53.943999999999996,55.45344827586207
5,68.60815345016861,72.03770353096832,53.988,55.48620689655172
6,68.23971980104191,71.39119148784421,54.028,55.52672413793104
7,67.61951362589929,70.68466115107915,54.004000000000005,55.55
8,66.68153854135576,70.02077916976764,54.044,55.36551724137931
9,65.61770635746045,69.45216292483255,54.28,55.26724137931035
10,65.10036105820915,68.95979144546432,54.464,55.18275862068966
11,64.63351336930457,68.12269242123544,54.516000000000005,54.984482758620686
12,63.9910013653445,67.27713615601772,54.55200000000001,54.79588122605364
13,63.477960108632814,66.59809570016401,54.632000000000005,54.67734674329502
14,63.08695316160865,66.27960607868386,55.0,54.687848932676516
15,62.823117477370886,66.13295815761185,55.26,54.632183908045974
16,62.51459671816922,65.86988198682434,55.708,54.49080459770115
17,62.36931973943392,65.89895311233771,56.244,54.441954022988504
18,62.32933047463886,65.77632026733293,56.292,54.777955665024635
19,62.120231414868115,65.7824531803129,56.08666666666667,55.19642857142857
20,61.51018804371888,65.98646826824255,56.065714285714286,55.69285714285714
21,61.128208435251786,66.16738630738267,56.177,56.058928571428574
22,62.92156298422802,66.5425203622816,56.38,56.658928571428575
23,63.46231123639551,67.07621107399795,56.784000000000006,57.26607142857143
24,63.4014707249585,67.26653237410073,56.732,57.7
25,63.62824285131896,67.50266816118534,56.483999999999995,58.33214285714286
26,62.707147491237784,67.30002834232616,56.044,58.462500000000006
27,62.58579458356391,67.31535142600205,55.86,58.70178571428571
28,62.57442485300221,67.38529936086843,55.88399999999999,58.80267857142857
29,62.40529377164934,67.37777447993986,56.00355555555555,58.64107142857143
30,62.109528805161005,67.26532485678125,56.362222222222215,58.00357142857143
31,61.806615318002,67.26570656867362,56.78444444444443,57.36964285714285
32,61.66411729146597,67.23489123843783,57.19866666666666,56.885714285714286
33,61.1214735509598,66.80274161242434,57.42488888888889,56.02142857142857
34,60.53043498821313,66.43936756428191,57.52844444444444,55.38125
35,60.35370544205661,66.35662643456664,57.94,55.05357142857143
36,59.95524263048251,66.28078564838606,58.35955555555555,54.75892857142857
37,59.44279654654482,66.09703835752826,58.528999999999996,54.565178571428575
38,59.17042902652237,65.93185972935937,58.669,54.426785714285714
39,58.619980178250565,65.58093662213086,58.61333333333333,54.20535714285714
40,58.392326385045806,65.2723058624529,58.50666666666667,54.09464285714286
41,57.90459117321527,64.94584789311408,58.4,53.92857142857143
42,57.63675824724836,64.81250100990637,58.29333333333333,53.926785714285714
43,57.30599940047963,64.66248736011191,58.18666666666666,53.925000000000004
44,57.33407313764373,64.58827828451524,58.18666666666666,53.93035714285715
45,57.47070764328708,64.66114488766131,58.27777777777777,53.94821428571429
46,57.632371712886105,64.72391691289825,58.18666666666666,53.97321428571429
