29,time,5-Resp1,5-Resp2,5-Resp3,5-Resp4,5-Resp5,5-Resp6,5-Resp7,5-Resp8,5-Resp9,5-Resp10,5-Resp11,5-Resp12,5-Resp13,5-Resp14,5-Resp15,5-Resp16,5-Resp17,5-Resp18,5-Resp19,5-Resp20,5-Resp21,5-Resp22,5-Resp23,5-Resp25,5-Resp26,5-Resp27,5-Resp28,5-Resp29,5-Resp30
QT1,1,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,-1,48,-1,-1,-1,-1,50,50,50,63,52,22,48,50
,2,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,-1,48,-1,-1,-1,48,50,50,50,63,52,22,48,50
,3,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,50,16,-1,-1,-1,48,50,50,50,63,52,22,48,50
,4,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,50,16,4,2,-1,48,50,50,50,63,52,22,48,50
,5,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,50,16,4,2,-1,48,50,50,50,63,52,21,48,50
,6,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,50,48,4,50,54,48,50,50,50,63,52,22,48,50
,7,50,51,50,50,50,50,50,48,50,48,50,50,56,51,50,50,48,4,50,54,48,50,50,50,63,52,22,48,50
,8,50,51,59,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,9,50,51,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,10,50,51,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,11,50,51,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,12,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,13,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,14,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,3,50,50,63,52,22,48,50
,15,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,16,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,17,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,18,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,19,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,2,50,50,63,52,22,48,50
,20,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,21,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,22,48,50
,22,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,50,54,48,50,50,50,63,52,21,48,50
,23,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,48,52,-1,54,48,50,50,50,63,52,21,48,50
,24,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,58,52,-1,54,48,50,50,50,63,52,22,48,50
,25,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,63,57,50,54,48,50,50,50,63,52,21,48,50
,26,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,65,57,50,54,48,50,50,50,63,52,22,48,50
,27,50,50,60,50,50,50,50,48,50,48,50,50,56,51,50,50,67,57,50,54,48,50,50,50,63,52,22,48,50
,28,50,50,60,50,52,50,50,49,50,48,50,50,56,51,50,50,68,57,50,54,48,50,50,50,63,52,22,48,50
,29,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,68,57,50,54,48,50,50,50,63,52,21,48,50
,30,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,68,49,50,54,48,50,50,50,63,4,22,48,50
,31,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,68,49,50,54,48,50,50,50,63,4,22,48,50
,32,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,68,48,50,54,48,50,50,50,63,4,21,48,50
,33,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,48,50,54,48,50,50,50,63,4,22,48,50
,34,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,47,50,54,48,50,50,50,63,52,22,48,50
,35,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,45,50,54,48,50,50,45,63,52,21,48,50
,36,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,45,50,54,48,50,50,45,63,52,21,48,50
,37,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,45,50,54,48,50,50,45,63,52,21,48,50
,38,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,45,50,54,48,50,50,45,63,52,22,48,50
,39,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,45,50,54,48,50,50,45,63,52,22,48,50
,40,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,33,50,54,48,50,50,45,63,52,22,48,50
,41,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,21,48,50
,42,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,22,48,50
,43,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,22,48,50
,44,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,21,48,50
,45,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,22,48,50
,46,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,22,48,50
,47,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,-1,33,50,54,48,50,50,45,63,52,22,48,50
,48,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,-1,-1,54,48,50,50,45,63,4,22,48,50
,49,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,-1,50,54,48,50,50,45,63,52,21,48,50
,50,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,33,50,54,48,50,50,45,63,52,22,48,50
,51,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,30,50,54,48,50,50,45,63,52,22,48,50
,52,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,30,50,54,48,50,50,45,63,4,22,48,50
,53,50,50,60,50,52,50,50,32,50,48,50,50,56,51,50,50,70,30,50,54,48,50,50,45,63,4,22,48,50
,54,50,50,60,50,52,50,50,32,50,48,50,50,56,51,50,50,70,30,50,54,48,50,50,45,63,4,21,48,50
,55,50,50,60,50,52,50,50,48,50,48,50,50,56,51,50,50,70,30,50,54,48,50,50,45,63,4,22,48,50
